1:...育"作为一个专有名很少出现，大多只单用一个"教"字，如《中庸》说："修道之谓教"[；]《荀子·修身》说："以善先人者谓之教"[；]《学记》说："教也者，长善而救其失者也"。在西方，教育一词源于...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
1626:...。如果你觉得这两字母的写法和发音都相同或者写法不同而发音相同，都按相同键（红键）[；]如果你觉得两个字母的写法和发音都不同，就请按不同键（绿键）例如...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1627:...过程中，要求被试对不同字母卡片在不同时间间隔条件下判断其是否为相同字母并按键反应[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1628:...张）Ab（3张）Ba（3张）。即可以为完全相同，音同形不同，音形都不同，共36张[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1629:7出现三组实验刺激和三种呈现间隔，采用拉丁方设计[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1630:8实验结束后，主试需要记录屏幕上出现的被试各种时间间隔下的正确和错误反应时[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1631:1主试打开电脑，找到PES心理实验系统，在经典实验中找到短时记忆的信息提取实验[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1632:2给被试呈现一系列1-6个的数字（记忆集），相继呈现1.2秒[；]呈现完后，过2秒，伴随一声长音，又出现一个数字，并开始记时[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1633:1被试坐在椅子上，随机念四张材料纸，每张材料纸念字和读色各一遍[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1634:3主试注意被试念字唱色有无错误，如有错误及时纠正[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1635:...住。从第二遍开始，先呈现汉字，再同时呈现汉---英单词对。记下被试正确反应的次数[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1636:...英文单词连续两遍正确无误地背出来为止。记下此次实验结束的时间，以及一共识记的次数[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1637:...--数字词对，步骤与前面2-5相同，指导语中相应部分替换成无意音节-数字词对即可[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1638:...1|3分，将其和作为记忆广度。例如：被试通过6个和6个以下长度的全部刺激，记6分[；]还分别通过一次7个和8个数目的刺激，那么总分是6+2|3		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1639:2检验空间位置记忆广度和数字记忆广度的差异显著性[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1640:...刻考虑到他们。例如在写实验报告时，首先在提出问题中要明确自变量和反应变量时的关系[；]在方法中要说明对自变量以外的可能影响反应变量的因素是如何进行控...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1641:...;短米尺，可量最小单位为mm。6张白纸，编号为甲1、甲2、甲3和乙1、乙2、乙3[；]两支铅笔。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1642:　　　5把被试画线得到的误差（与标准刺激差的绝对值）记录到表18-1[；]阶段2的100次结果以纵列的顺序依次登录。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1643:1每组选择出性格明显外向两个被试，最好测一下EPQ的内外向，被试不得看木条[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1644:6被试双手分别摸标准刺激和变异刺激，找到变异刺激和标准刺激一样宽的位置停止[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1645:注：N表示插入刺激为2cm时动觉后效的相对值[；]B表示插入刺激宽度为6cm时动觉后效的相对值。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1646:...的感觉联系起来。为此，将实验做了两种安排：（1）在被试反应之后告诉他反应得有多快[；]（2）在被试反应之后叫他先估计自己的反应时间，然后再告诉他结果...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1647:...误差加大。当使用复制法来估计时间时，很可能产生时间误差，对光刺激的复制有可能低估[；]对声音刺激容易产生后效，可能高估[；]而对错觉刺激因利用肌肉紧张持续的长短感觉来估计，则准确性可能较...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1648:...将刺激呈现选择为光刺激，呈现时间调整为2s。被试面对仪器背面2米坐下，手持反应键[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1649:3主试将刺激呈现时间调为10s和30s，分别复制20次，方法同上[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1650:4主试将呈现刺激调为声音刺激，重复上述步骤[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1651:5被试在呈现刺激之后用电键复制这个时间长度，主试记录复制的长度以及误差[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1652:...实验发现，对空白的时间间隔容易高估而对填满活动的时间间隔容易低估[；]weybrew的实验则发现，对时间高估的份量随诱发的肌肉紧张强...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1653:　　2两名被试均要求其又快又准确地完成计算，并对自己所用的时间进行估计[；]若被试2都爱了限定时间还未完成所有运算的话主试指导其停止。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1654:...第（5）（6）栏。注意：编秩时，遇到几个绝对值相等、符号相反的差值，各取平均秩次[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1655:符号相同的相等差数，可不必取平均秩次[；]遇有差值为0的，则弃去不计，随之从相应的对子数n中减去。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1656:...值表。若现有统计量T值大于表中相应的界值T0.05，则P&amp;gt;0.05[；]若现有统计量小于或等于表中相应的T0.05，则P=0.05。本例对子数n=12，查表得T0.01=7，本例T=7，故P=0.01[；]按a=0.05检验水准拒绝H0，可认为宇航对心率有影响[；]，使心率增快。由此看出符号秩和检验比符号检验效率高。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1657:...：从左数第二个电键有声音。这个假设在以后的实验中得到了证实，说明这个假设是正确的[；]如果这个假设被否定了，他又得提出新的假设，进行新的验证。在实验...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1658:...能观察到被试的反应，但被试却看不见主试的操作。被试一方有12个按键和12个指示灯[；]主试一方有24个按钮和36个指示灯，其中12个按钮和12个指示灯是规律设置[；]还有12个按钮和12个指示灯是供被试选择位置[；]另外12个指示灯是被试按按钮后显示。电源开头和整机复位按钮也在...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1659:...属性的，另一种是没有共同属性的。对要形成的概念来说，前者是肯定的具体事例，叫正例[；]后者是否定的具体事例，叫反例。在实验过程中，正例和反例的数目每次都按不同的比例安排，观察被试在比例不同的情况下概念形成的速度。结果发现，有少量反例往往比没有反例时概念形成得列为顺利。同时，正例和反例的数目差别较大时，有利于概念的形成[；]当正例和反例的数目接近或相等时，概念形成的速度变慢，发生错误的...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1660:...随时记下被试的反应（口头报告和表情），直到被试找到正确答案时停止计时，并记下时间[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1661:...找到分类原则所用的时间和被试的反应。然后按同样的方法顺次用第三至第十套卡片做实验[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1662:　　动作技能是指通过练习而形成的顺利完成任务的动作方式[；]研究动作技能首先要了解它的练习进程。研究动作技能的典型方法是绘制学习曲线[；]其他表示学习效果的指标还有多种，比如每遍学习中正确或错误反应的...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1663:...阶段所达到的效果都可以在学习曲线上显示出来。学习曲线可以使我们看到练习发展的趋势[；]一般是用学习的阶段或学习的遍数做横坐标，用学习达到的效果为纵坐...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1664:...般服从于某些共同的规律：学习初期成绩提高较快，经过一个阶段以后，成绩就上升得慢了[；]学习的速度时快时慢，在上升中出现起伏现象[；]到学习后期，出现成绩的暂时停顿，即所谓"高原"现象。这种趋势在...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1665:1．被试不能看到迷宫，手持小棒[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1666:2．主试引导被试持小棒置于迷宫入口[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1667:3．主试发出"开始"命令，同时计时[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1668:4．被试听令后，立即拿小棒沿着其中可以前进的通路前进[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1669:5．到达迷宫终点时，主试说"到了"，被试所持小棒就不要动了[；]主试记录完成时间和被试进入盲巷的次数于表26-1[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1670:...．同样的方法重复，直至被试连续三遍不发生一次错误，被试若手腕累了，可适当休息一下[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1671:...划掉，一直要把这张数字表检查完，把该划的数字划完。不要把指定的数字以外的数字划掉[；]也不要把指定的数字漏掉[；]还要尽量快划，我要记你划这张数字表所用的时间。等我喊'开始'时...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1672:2．先让被试试着划去前三行数字中的"5"，正式实验从第五行开始[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1673:...张数字表要划掉5和9，划法与上一张的相同，要尽量划得快些。然后按上述方法进行实验[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1674:...按同样方法划消工作，除实验顺序改为先划5和9，后划5外，其余操作和指示语都与上同[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1675:...划掉，一直要把这张数字表检查完，把该划的数字划完。不要把指定的数字以外的数字划掉[；]也不要把指定的数字漏掉[；]还要尽量快划，我要记你划这张数字表所用的时间。等我喊'开始'时...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1676:6．先让被试试着划去前三行数字中的"5"，正式实验从第五行开始[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1677:...三行，不是一行一行地划，或是不从左到右检查，要立即纠正，并另换一张数字表重新再做[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1678:...．分别统计每组的e、c、o、w和T，并用简介中公式计算出A与E，列入下表27-1[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1679:仪器和材料：棒框实验：棒框仪（见照片）[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1680:镶嵌图形测验：共有33个图形，分为三部分：（1）简单图形8个[；]（2）复杂图形（1-7号）[；]（3）更复杂的图形（8-25号）。秒表[；]彩色笔。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1681:...述程序共做8次，方框的倾斜度总是17°，但倾斜的方向按左右、右左、右左、左右排列[；]棒的倾斜度也总是20°左右，倾斜的方向按右、左、右、左的顺序排...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1682:...度范围内，手掌和足掌特别能反映唤醒水平，因此这两个区域是测量皮肤电反应的适宜部位[；]2.温度，身体皮肤电主要反映身体温度的调节机制[；]3.活动，当被试正准备着某项任务时，皮肤电水平会逐渐上升。开始...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1683:容易和难的算术题各20题[；]香水和汽油分别装于状态密闭的小瓶中。		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1684:1．熟悉皮肤电测试仪的操作和使用，了解怎样用皮肤电测试仪记录皮肤电反应的变化[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1685:...2分钟，较难的算术题2分钟加噪音（节拍器2-3Hz），闻香水20秒，闻汽油20秒[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1686:5．主试可以将纸质心算题放被试面前的桌面上，要求被试心算后报出答案[；]呈现香水和汽油时，主试要将装有香水或者汽油的小瓶口放在离被试鼻子较近的位置，被试用手将气味轻轻扇向鼻子[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1687:6．实验结束时，请被试报告各种条件下的情绪体验，并记录在表29-1中[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1688:...特殊的事例，称作几何错觉。按照几何特点，错觉可分为：长度错觉、大小错觉和方向错觉[；]按照测验成分受背景成分影响的方式划分则可分为同化错觉和对比错觉...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1689:...为眼球垂直运动比横向运动更为费力，因此，同等长度的垂直线段就显得比水平线段更长些[；]2.神经抑制作用理论：该理论认为两个轮廓彼此接近时，网膜内相邻的神经团会相互抑制，因而神经兴奋分布的中心发生变化，结果轮廓发生了相对位移，产生错觉。但这种理论只停留在网膜上感受器的相互作用，而没有考虑到整体上的认知作用[；]3.心理学方面的解释：该理论认为人的错觉纯属心理活动的结果，是...		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1690:1．主试将测验纸折叠或裁剪成恰好一个图形的大小，即被试每次只能看到一个图形[；]		  【文件名:\当代\CWAC\APL0095.txt	文章标题:	作者:】
1691:...回答。在我这五十年中间，研究了中国哲学，也研究了西方哲学，也看了一些印度哲学的书[；]结果发现，如果把所有的、中国印度西方古今中外的哲学家对哲学下的...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1692:...谢林，说老师你的那套理论，自我分裂成非我，然后达到自我和非我的统一如何如何，不对[；]整个宇宙是绝对同一的。到了黑格尔，把他们三个人都否定了，提出了...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1693:...且，每个人有每个人的哲学。例如，先秦哲学中，孔孟的哲学，与老庄的哲学是大不一样的[；]宋明理学中，程朱和陆王的哲学也是不一样的，他们互相之间也有争斗...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1694:...个人的哲学观都不同。可以说每个人都有自己的哲学观。有些人不太明确，有些人不太自觉[；]自觉的哲学观有一套逻辑的系统，能够证明它的正确性，这一样就成为了一个哲学家。像我这样的哲学教授，既说不出一个道理来[；]关键又没有形成自己的"成见"，就像《万尼亚舅舅》里面的那个艺术...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1695:...关注的问题不一样，科学是确定的知识，它关心的是具体的事实，是对是错还可以得到检验[；]科学的对象是确定的东西，跟宗教不一样。而哲学的对象是不确定的，...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1696:...学的精神要好，它是"极高明而道中庸"，既是出世的、超越的，又是入世的、关心社会的[；]西方哲学则把这两个方面截然分开。冯友兰先生接着写了《新原人》，认为人学习哲学，最重要的是提高自己精神境界。冯先生认为人有四种境界：自然境界、功利境界、道德境界，以及最高的天地境界，天地境界是人所追求的，是人的安身立命之地。这些在西方哲学中都是没有的。冯友兰先生按照西方的逻辑结构、话语系统，来看中国哲学之中哪些是有道理的，从这些道理中说出一个道理来并加以证明，所以他写了《新原道》和《新原人》。金岳霖先生也是一样。金岳霖先生的逻辑分析达到了非常高的水平，他写了一部《知识论》，冯友兰先生评价说它的水平不仅不比西方的同类作品低，反而高出他们很多。但是学哲学，不仅要求得理智的了解，还要求得情感的满足。我要爱它，它跟我一生的生命和做人紧密联系在一起[；]而知识论则不难做，它是把外界的东西当作一个客体来研究、观察。所...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1697:...西方中心论。在《哲学史讲演录》中，黑格尔简单地说了几句孔子，说他说了几句人生规则[；]说老子的"道可道"多少有点哲学的味道，但是说它是哲学还是谈不上...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1698:...是全世界惟一的哲学。哲学是什么？就是绝对理念。绝对理念不断地发展，不断地完善自己[；]全世界从古至今的各种各样的哲学体系，都不过是绝对理念在其不同的发展阶段的不同表现而已[；]绝对理念发展到了黑格尔本人，就到了顶峰了。这叫历史和逻辑的统一...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1699:马克思从来没有说，他的哲学是全世界惟一的哲学[；]但是斯大林凭借着他手中的权利，垄断了哲学的话语系统，哲学就是我...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1700:...主席。毛主席一句顶一万句。两个凡是知道吧？"凡是毛主席作出的决策，我们都坚决维护[；]凡是毛主席的指示，我们都始终不渝地遵循。"邓小平上台，首先就是...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1701:...文化是向外征服的，印度的文化是向后看的，追求来世的，中国文化是注重现实的，在中间[；]也就是说，一个向下，一个向后，一个注重现实。这本书值得一看，但...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1702:...论道》，也是把中国西方印度作了个比较。金岳霖是位哲学大师，他德骨子里头是新实在论[；]他根据新实在论，运用他逻辑的分析，写了个《知识论》，就是这两本...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1703:...他说孔子的那一套只是格言而已，道德格言，人生格言，谁都能得出来的，算不了什么哲学[；]《易经》和《老子》有点象哲学，但是它太浅薄，没有逻辑的论证，因...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1704:...洲，光这个罗马帝国就把希腊的这些文化经典扩散那么大的地方，这是一个非常大的文化区[；]这个罗马帝国向外辐射，象德国、法国，都是在罗马帝国的辐射范围之内的。那中国呢？秦汉帝国，都是这个轴心期形成的这个文化的参照，这样，在中国这样一个大的区域，就是一个很大的文化区了，中国形成一个文化共同体，不是在春秋战国时期，主要是在汉代形成的，我们叫汉人，为什么叫汉人呢？因为那个时候汉人才形成了一个大的文化区[；]而那个文化区呢，就是后经典时期，还是先秦那几部经典。但这个经典是个很大的辐射的力量，向外辐射，那么中国在秦汉时候形成的这个辐射的东西，超出了中国的版图。现在的韩国，是属于中国的文化区之内的[；]日本，到中国来学习，也是属于中国的文化区的[；]还有越南，也算，非常大，到东亚，都是当时的文化区所形成的。		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1705:...那只是路，道就是"由是而之焉"。由这个地方到那个地方，就是由是而到，到那个地方去[；]如果我从这儿走，能到那个地方吗？到不了，由是而之焉，这里面有很...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1706:...智的了解，对于人生，对于宇宙，对于科学，我一定问出个一、二、三来，理智上非常紧张[；]你学西方哲学，一定进入知识论的这个境界，好好去研究，从各个方面...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1707:...世界是可以通过人类的理性去认识，可以分析的手段去追求，这样西方就走上了科学的道路[；]印度的梵我同一则是超出经验的，超出逻辑的，只能用体验去把握，带有很强的神秘性，所以突出个体的感受[；]而中国的有道无道则可以通过社会现状表现出来，有道就是太平盛世，无道就是民怨沸腾，所以中国的哲学就走上了注重关注社会伦常的道路。有学者在三者之间做了比较，得出的结论就是：古希腊哲学中的两个世界的区分驱使古希腊人去求知，所以知识论是西方哲学的传统[；]印度哲学两个世界的区分驱使印度人去追求一种宗教的体验，所以神秘主义是印度哲学的特点[；]中国哲学则注重实践，所以践行是中国哲学的特长。		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1708:...好象不是个月亮，以为是个圆盘，或者是个圆圈，或者是个什么东西，就不知道它是个月亮[；]中国人比较聪明，他就善于用负的方法，负的方法他就不画月亮是什么...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1709:...，一连三次被打。那个老师也很有名，叫黄檗，义玄的老师，三次被打，他还是弃而不舍的[；]到最后才知道，这个问题他悟了，大彻大悟。到第四次再去问的时候呢，他反过来把老师揪出来打他一拳，这个老师没生气，说"好，这才是好学生，你已经成为一个大师了"。他就回忆这个临济义玄，这个事是真的，书上是这么记载的，问佛法大意是什么，就是哲学是什么，问老师问了三次，三次被打[；]最后才知道佛法大意是什么，他归结为一句话，"说是一物即不中"。...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1710:...，就是这么平常。但是开始的时候，从正面出发，老是想哲学是什么，问一个究竟，不对的[；]我反过来说，佛法不是什么，把佛法和我们平常的生活，拉屎、撒尿、吃饭、睡觉密切地结合起来，这里面一个深刻的哲理那就是佛法[；]原来佛法没什么，没什么了不起的。		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1711:...场。我们之所以把哲学当作一个普遍规律，不是中国也不是印度有的，而只是西方所特有的[；]我们一百多年来错误的把这个定义搬到中国来，结果产生了很多误导。每一个哲学的发生都有其宗教历史和文化背景，希腊是爱琴海，其社会组织是城邦，包括雅典和其它的，城邦林立[；]其宗教是罗马史诗、神话，把人的世界定位神的世界，以神来统治，中心就是奥林匹斯山，众神之父宙斯[；]他们创造了这个世界，每一个自然物都有一个神统治，这有长远的历史...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1712:...有个特点就是神人同形，相同形状和性格。神来自于自然力量的人格化，如山神，智慧之神[；]阿波罗，太阳之神，开始时，自然不是神，这时考虑的是自然而不是人...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1713:...问世界的本原是什么，因此，早期的哲学家都是自然哲学家，这是西方自然科学发展的基础[；]但从中国哲学来看，就片面的很--只问自然不问人生，这是有天学，没有人学，不是中国哲学的天人合一。后来古希腊发展到人类学时期，就开始追问人生，人是什么？要认识你自己（苏格拉底的名言）。苏格拉底把哲学的目光扭转到了人生，走人文科学的道路，他抛弃了早期自然哲学家的进路，这就是有了人学，又没有了天学。到了柏拉图的体系化时期，就是把巴门尼德的存在和苏格拉底理性的人、道德的人结合在一起，把天和人结合起来，这才构成了一个体系。表面上柏拉图的这个体系与中国的天人之学是相似的，但是实际上它把世界一分为二--由于宇宙归根结底就是逻各斯（普遍理性），和逻各斯相对的就是我们的现实世界，这个世界是不真实的，所以我们要撇开现实世界，去追寻真实的普遍理性[；]中国哲学就没有这种分法。		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1714:...多葛派继承了柏拉图的逻各斯，强调理性、必然性，从而突出不可抗拒的命运，提倡命定论[；]既然如此，人们就应该服从这种必然性，你是什么样的人，就应该安于做什么样的人[；]大家都安于自己的命运，那就能得到幸福。伊壁鸠鲁派认为理性不能决...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1715:...拉图以感觉为虚幻，以理性为真实，斯多葛派继承了这一看法，他们也被称为新柏拉图主义[；]伊壁鸠鲁则高扬感性。这两派是谁也说服不了谁。用康德的话来说，不管斯多葛派也好，伊壁鸠鲁派也好，都是独断论--要么重理性而忘感性，要么重感性而遗理性。两派都没有经过足够的哲学反思，这样就兴起了另外一个哲学派别--怀疑派。怀疑派的特点就是你们两派说的都不对，但是什么才是对的？它也不说。怀疑派采取的是绝对的怀疑态度。怀疑派的代表人物是皮浪。皮浪有一次坐船，遭遇了大风浪，船上其他乘客都惊惶失措，只有皮浪安之泰然，他不动心[；]他说你们惊慌什么？你看那船上的猪，照样吃喝，一点没受影响，人就...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1716:...他就在说谎，既然他在说谎，那么他说"我就是说谎话的人"也是假话，那他就不是说谎者[；]但是如果他不是说谎者，"我就是说谎话的人"就是假的，他就不会说...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1717:中世纪哲学的核心，仍然是柏拉图奠定的普遍理性[；]但是基督教以宗教的形式把这个普遍理性神化了。基督教哲学有两个基本概念：一个是"道成肉身"，另外一个是"三位一体"。道就是逻各斯，普遍理性，但是它不是抽象的，而是成了肉身，成了上帝，上帝就是逻各斯的化身，信仰上帝，就是信仰普遍理性[；]耶稣作为上帝之子，是圣子，上帝是圣父，他们的根据就在圣灵，圣灵...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1718:...人间之城。上帝之城是真善美的世界，但是自从亚当夏娃犯了原罪，就把人贬低到人间来了[；]人间每个人都是有罪的，人类必经末日审判，赎过罪的才能重新回到上...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1719:...是最好的一种形式：蚂蚁把东西搬到自己的洞穴里面原封不动地保管起来，这只是搜集资料[；]蜘蛛从自己嘴里吐出丝线结成网，相当于理性主义者[；]蜜蜂到处采集花蜜，然后酿成蜜糖。所以真正的知识离不开经验。		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1720:...命是康德发起的，在康德看来，理性能够把杂乱无章的感性做一番整理，因此有它的重要性[；]但是理性不能乱用，有些问题理性不能解决，如形而上学中上帝存在、...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1721:...以规范。康德提出的有十个大范畴。知性之所以能够对感性做出规范，是通过先天综合判断[；]先天综合判断则来源于先天理性。就这样，人类才形成了知识。人类的...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1722:...是，人类的认识问题都是主体的问题。康德以前的哲学都是主体认识客体，主体围绕客体转[；]康德则把这个颠倒过来，是客体围绕主体转，客体之所以能进入主体的视野，首先是主体借用感性直观、知性范畴和理性来认识的对象，这就是所谓的"哥白尼革命"。我们知道，在哥白尼之前，托勒密的"地球中心说"是占统治地位的，太阳绕着地球转[；]但是哥白尼指出，太阳是中心，是地球绕着太阳转。这是天文学上的一次革命[；]康德则在哲学上完成了"哥白尼革命"。		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1723:...先天综合判断。具有了丰富的经验的材料，先天综合判断再对之进行整理，这样就有了科学[；]科学知识的必然性，就在于有这个先天综合判断。人类的理性能够为感性立一个法则。所以哲学问题就是认识论问题。然而理性有其局限性。有些问题是理性没法解决的。理性有两种，纯粹理性和实践理性。纯粹理性解决的是客观世界的必然性问题[；]然而除了必然性之外，人还需要自由，这就是实践理性解决的问题。康...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1724:...是头上的星空和心中永恒的道德律。头上的星空是宇宙论问题，心中的道德律是人类学问题[；]头上的星空是必然性的问题，心中的道德律是自由的问题。康德后来把他一生的探索归结为三个问题：一、我能够知道什么[；]二、我应该做什么[；]三、我能期望什么。这三个问题，可以归结整个康德的哲学，也可以作...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1725:...远的影响。一个是牛顿，牛顿创立了经典力学，整个世界就处于引力场中，处于必然性之中[；]另外一个是卢梭，卢梭认为，科学的发展就是人类道德的堕落，人本质...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1726:...人的存在，这个世界还有没有意义？恐怕没有。因为有人的存在，这个世界才成为我的世界[；]世界提供材料，我赋予世界以意义。二者互相结合。这就是康德的哲学...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1727:康德以后，费希特要克服康德的二元论[；]费希特说，"我"作为主体，一定要自己给自己设立一个对立面--"非我"[；]而后"非我"又统一到"我"之中。费希特之后，谢林说整个世界一开...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1728:...对理念是世界的规律、是逻各斯、是普遍理性，它把自己外化成自己的对立物，外化成自然[；]这个自然都是由逻辑学演变出来的[；]自然有规律、有必然性，这种必然性和规律来自于逻辑学。你们学习马...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
1729:...地上什么果子都能沾到身上，欧洲大陆哲学家们就是这个样子，搞个庞杂的体系，无所不包[；]英美的哲学家主要是分析哲学家，像狐狸一样，找个小窍门，找个小鸟...		  【文件名:\当代\CWAC\APM0061.txt	文章标题:	作者:】
